EA_number,Year,REGION_NAME,mean_dist_pp50k,mean_roadden,mean_Area_Ha,elevation7_sq,SLOPE_sq,Total_agr_ecological,cwd_early,cwd_late,pdsi_early,pdsi_late,cwd_w,cwd,pdsi,AcidLevel
3831,2011,Amhara,38182.55078125,0.005121338181198,2687.78564453125,1540240.375,32.7714958190918,3,602.388511449466,941.950761312474,-99.3697886434595,-79.7220587604526,772.16963638097,772.16963638097,-89.545923701956,Neutral
3832,2012,Amhara,38182.55078125,0.005121338181198,2687.78564453125,1540240.375,32.7714958190918,3,516.301677031967,1118.21323373127,-82.7449348297486,61.8810941930583,817.257455381618,817.257455381618,-10.4319203183451,Neutral
3833,2013,Amhara,38182.55078125,0.005121338181198,2687.78564453125,1540240.375,32.7714958190918,3,331.360858769997,878.462726427907,293.903487502083,249.737733933814,604.911792598952,604.911792598952,271.820610717949,Neutral
3834,2014,Amhara,38182.55078125,0.005121338181198,2687.78564453125,1540240.375,32.7714958190918,3,555.249304453509,789.861183787236,-50.4607024566934,177.237419400955,672.555244120372,672.555244120372,63.3883584721308,Neutral
3835,2015,Amhara,38182.55078125,0.005121338181198,2687.78564453125,1540240.375,32.7714958190918,3,571.282976624484,1001.03550980533,-233.554743012378,-192.611955107581,786.159243214907,786.159243214907,-213.083349059979,Neutral
3836,2016,Amhara,38182.55078125,0.005121338181198,2687.78564453125,1540240.375,32.7714958190918,3,698.849515571779,1345.04810732241,-321.856963804896,-534.123236828952,911.94543046966,1021.94881144709,-427.990100316924,Neutral
3837,2010,Amhara,39235.96484375,0.031772006303072,1718.125,1440921.875,19.5515937805176,3,509.582008948765,1091.369998561,-63.9883208108641,-194.616637923517,800.476003754883,800.476003754883,-129.302479367191,Neutral
3838,2011,Amhara,39235.96484375,0.031772006303072,1718.125,1440921.875,19.5515937805176,3,589.859946659288,920.55294071158,-100.808472184011,-83.506023386712,755.206443685434,755.206443685434,-92.1572477853615,Neutral
3839,2012,Amhara,39235.96484375,0.031772006303072,1718.125,1440921.875,19.5515937805176,3,514.039499280106,1103.95346368034,-83.5394743022799,61.2495949489608,808.996481480223,808.996481480223,-11.1449396766596,Neutral
3840,2013,Amhara,39235.96484375,0.031772006303072,1718.125,1440921.875,19.5515937805176,3,318.573379292546,853.237198485807,294.799656126029,253.365539830709,585.905288889177,585.905288889177,274.082597978369,Neutral
3841,2014,Amhara,39235.96484375,0.031772006303072,1718.125,1440921.875,19.5515937805176,3,553.645298313659,766.29954167533,-51.3207788014968,177.90623618297,659.972419994495,659.972419994495,63.2927286907366,Neutral
3842,2015,Amhara,39235.96484375,0.031772006303072,1718.125,1440921.875,19.5515937805176,3,556.7458352253,985.300613112718,-232.105351296504,-195.731199704144,771.023224169009,771.023224169009,-213.918275500324,Neutral
3843,2016,Amhara,39235.96484375,0.031772006303072,1718.125,1440921.875,19.5515937805176,3,682.524909613782,1339.13142815814,-323.719662925958,-536.713608596553,911.94543046966,1010.82816888596,-430.216635761255,Neutral
3844,2010,Amhara,35241.3515625,0.003686858108267,635.509094238281,1940933,35.4983100891113,7,419.048288545539,951.683367816508,-77.1468297660387,-215.507896848925,685.365828181024,685.365828181024,-146.327363307482,Neutral
3845,2011,Amhara,35241.3515625,0.003686858108267,635.509094238281,1940933,35.4983100891113,7,443.022444312698,759.674753072223,-106.73074891005,-115.129600277479,601.34859869246,601.34859869246,-110.930174593764,Neutral
3846,2012,Amhara,35241.3515625,0.003686858108267,635.509094238281,1940933,35.4983100891113,7,471.081765457941,952.708229984633,-85.49784631393,-27.8020101069988,711.894997721287,711.894997721287,-56.6499282104644,Neutral
3847,2013,Amhara,35241.3515625,0.003686858108267,635.509094238281,1940933,35.4983100891113,7,261.62933610812,680.056374951099,310.848409135825,240.037784284544,470.842855529609,470.842855529609,275.443096710184,Neutral
3848,2014,Amhara,35241.3515625,0.003686858108267,635.509094238281,1940933,35.4983100891113,7,512.882339774226,586.251493262671,-53.2663795085237,185.072696987664,549.566916518449,549.566916518449,65.9031587395701,Neutral
3849,2015,Amhara,35241.3515625,0.003686858108267,635.509094238281,1940933,35.4983100891113,7,404.312250198631,833.50880430092,-223.553313813034,-212.356759710746,618.910527249775,618.910527249775,-217.95503676189,Neutral
3850,2016,Amhara,35241.3515625,0.003686858108267,635.509094238281,1940933,35.4983100891113,7,533.802463832997,1186.66326674652,-331.470112564377,-535.171691934163,860.232865289759,860.232865289759,-433.32090224927,Neutral
3851,2010,Amhara,27708.64453125,2.78154220723081E-05,722.440246582031,2370539.5,92.794059753418,8,374.169670084961,851.500875849253,-106.290498276669,-230.703294540658,612.835272967107,612.835272967107,-168.496896408664,Neutral
3852,2011,Amhara,27708.64453125,2.78154220723081E-05,722.440246582031,2370539.5,92.794059753418,8,339.492331886587,641.754230316441,-93.367349616329,-103.297024594698,490.623281101514,490.623281101514,-98.3321871055135,Neutral
3853,2012,Amhara,27708.64453125,2.78154220723081E-05,722.440246582031,2370539.5,92.794059753418,8,425.311211934244,827.411826447101,-80.2528278938494,-32.1977008070582,626.361519190673,626.361519190673,-56.2252643504538,Neutral
3854,2013,Amhara,27708.64453125,2.78154220723081E-05,722.440246582031,2370539.5,92.794059753418,8,175.759801001377,517.808665943294,330.770531041232,240.612197353304,346.784233472336,346.784233472336,285.691364197268,Neutral
